,,CUSTOMER MANAGEMENT LIST,,,,,,,,,
"Piqua Transport Co., Pump Division",Jeff Schaffner,8395 North Piqua-Lockington Road,Piqua,Ohio,45356,www.piquaconcrete.com,937-773-0841,937-778-0843,jschaffner@piquaconcrete.com,,
Porky's Concrete Pumping Service,,1524 Schunaman Street,Moberly,Missouri,65270,,660-263-6341,,,,
"Potratz Concrete Pumping South, Inc.",Jennifer Potratz,1962 South 76th Street,Franksville,Wisconsin,53126,www.potratzsouth.com,262-835-1626,262-835-1688,accounting@potratzsouth.com,,
"PPT, Inc.",David Pattridge,1040 Hawn Avenue,Shreveport,Louisiana,71107,,318-222-2225,318-222-2276,david@pptinc.com,,
Prairie Construction,,4104 South Herren Road,Hutchinson,Kansas,67501,,620-960-1388,,,,
"Preferred Concrete Pumping, Inc.",Martin Lopez,3190 West El Camino Del Cerro,Tucson,Arizona,85745,www.prefconcpump.com,520-888-3345,520-888-1205,Martinl@prefconcpump.com,,
Premier Concrete Pumping,Bruce Inglese,25 Ingram Blvd.,Lavergne,Tennessee,37086,www.premierconcrete.com,615-213-2600,615-213-2601,ingleseb@premierconcrete.com,,
Pro Pump LLC,,5853 County Road 15,Merino,Colorado,80741,,970-522-5580,,,,
"Protivin Builders, Inc",Gary Panos,1020 Windsor Avenue,Waucoma,Iowa,52171,,563-569-8512,,,,
PumpCo,,,,,,,303-517-0773,,,,
Pumpcrete Corporation Canada,"Ken Williams, Jr.",6000 Progress Street,Nigra Falls,Ontario,L2E 6X8,www.pumpcrete.com,905-354-3855,905-374-4043,ken2@pumpcrete.com,,
Pumpcrete Corporation USA,George Culp,7126 Ellicott Road,Orchard Park,New York,14127,www.pumpcrete.com,716-508-8204,716-508-8255,george.pumpcrete@gmail.com,,
Pyramid Contractors,,795 West Ironwood,Olathe,Kansas,66061,,913-764-6225,,,PO # Required for payment,
