CUSTOMER MANAGEMENT LIST,,,,,,,,,,,,
Customer ID,Company Name,Contact Name,Billing Address,City,State ,Postal Code,Website,Phone Number,Fax Number,E-Mail Address,Notes,
,Cemstone Products Co.,Darrell Gagnon,"2025 Centre Pointe Blvd., Suite 300",Mendota Heights,Minnesota ,55120-1259,www.cemstone.com,651-688-9292,651-688-0124,thorb@cemstone.com,,
,Central Concrete Pumping,Carl Walker,PO Box 137064,Fort Worth,Texas,76136,www.centralpumping.com,817-237-9050,817-237-6573,carl@centralpumping.com,,
,"Central Concrete Pumping, LLC  JCCP",,19308 West 63rd Street,Shawnee,Kansas,66226,,913-208-9245,,,PO # Required for payment,
,Central Missouri Con,,6111 Paris Road,Columbia,Missouri,65202,,513-819-3301,,,,
,Central Missouri Concrete Pumping,Ron Stuart,11760 East Zaring Road,Columbia,Missouri,65202,,573-696-1474,573-696-3310,cmocpumping@gmail.com,,
,CF&T& Available Concrete Pumping,Cindi Enloe,1970 national Avenue,Hayward,California,94545,www.cftconcretepumping.com,510-782-6910,510-732-1660,cindi@cftconcretepumping.com,,
,"Champion Concrete Pumping, Inc 1",Roy Thompson,26769 W Highway 53,Hauser,Idaho,83854,www.championconcretepump.com,208-773-8222,208-773-9828,Irt@championconcretepump.com,,
,"Champion Concrete Pumping, Inc 2",Roy Thompson,319 Nelson,Moscow,Idaho,83843,www.championconcretepump.com,208-773-8222,208-773-9828,Irt@championconcretepump.com,,
,"Champion Concrete Pumping, Inc.-MT",Roy Thompson,26769 W Highway 53,Hauser,Idaho,83843,www.championconcretepump.com,406-273-2727,208-773-9828,Irt@championconcretepump.com,,
,"Cherokee Pumping of Florida, LLC",Rudy Rivero,6511 Nova Drive #285,Davie,Florida,33317,,954-551-1171,,rodolforivero@bellsouth.com,,
,"Cherokee Pumping, Inc. 1",Wayne Bylsma,PO Box 489,Hampton,Georgia,30228-0489,www.cherokeepumping.com,770-946-5066,770-946-4552,wayne.bylsma@cherokeepumping.com,,
,"Cherokee Pumping, Inc. 2",Leon Crumbley,PO Box 489,Hampton,Georgia,30228,www.cherokeepumping.com,912-536-9181,912-966-0411,,,
,"Coastal Carolina Pumping, Inc",Keith Bauer,PO Box 241185,Charlotte,North Carolina,28224,www.ccpumping.com,704-552-6000,704-553-0052,kbauer@ccpumping.com,,
,"Cole & Lambert, Inc MD",Chris Lambert,PO Box 69,Churchville,Maryland,21028,www.coleambert.com,410-575-6380,410-457-4248,chrislambert569@aol.com,,
,"Cole & Lambert, Inc VA",Carter Cole,"11112 Washington Highway, Ste G",Glen Allen,Virgina,23059,www.coleandlambert.com,434-294-4295,804-355-0101,,,
,Commercial Capital Con,,8215 Melrose Drive,Lenexa,Kansas,66214,,913-341-0033,,,,
,Compass Plumbing & Conveying Inc.,,602 Stone Street,Falls City,Nebraska,68355,,402-245-5849,,,,
,"Conco Pumping and Belting, Inc 1",Doug Marquis,13052 Dahila Street,Fontana,California,92337,www.concopumping.com,866-347-3407,909-350-0708,dmarquis@concopumping.com,,
,"Conco Pumping and Belting, Inc 2",Joe Sostaric,5141 Commercial Circle,Concord,California,94520-8523,www.concopumping.com,925-687-6040,925-680-6231,jsostaric@concretepumping.com,,
,"Conco Pumping and Belting, Inc 3",Noel Bryand,18644 72nd Avenue South,Kent,Washington,98032,www.concopumping.com,877-347-3407,360-862-8605,nbryand@concopumping.com,,
,"Concrete & Materials Placement, LLC 1",Doug Doggett,1425 Cressida Drive,Charlotte,North Carolina,28210,www.concretematerialsplacement.com,704-554-9200,704-554-9211,cmiles@concretematerialsplacement.com,,
,"Concrete & Materials Placement, LLC 2",Jerry Behe,2917 Gresham Lake Road,Raleigh,North Carolina,27615,www.concretematerialsplacement.com,704-361-0148,919-803-7129,,,
,Concrete Iron,,1008 Douglas Drive,Roanoke,Texas,76262,,866-267-4766,,,,
,"Concrete Placement of Alaska, LLC",Brett Dobmeier,PO Box 83844,Fairbanks,Alaska,99708,,907-451-7867,,brettlm@hotmail.com,,
,"Concrete Placement, Inc.",Chad Sage,PO Box 1337,Tustin,California,92781,,877-586-5676,714-832-8446,cgsage@hotmail.com,,
,Concrete Pump Depot ,Les Ainsworth,11958 West 66th Lane,Arvada,Colorado,80004,www.concretepumpdepot.com,303-517-0773,720-583-1480,les@lesainsworth.com,,
,"Concrete Pump Dispatch, Inc",Thomas E. Judge,PO Box 1127,Saftey Harbor,Florida,34695,www.concretepumpdispatch.com,727-725-1666,727-724-9220,cpdi@verizon.com,,
,Concrete Pump Repair,,39347 Flink Ave,North Branch,Minnesota ,55056,,651-674-4481,,,,
,Concrete Pump Repair,Jerry Anderson,39347 Flink Avenue,North Branch,Minnesota ,55056,www.concretepumps.com,651-674-4481,651-674-4482,janderson@schwing.com,,
,Concrete Pump Solutions. Com,Bruce Inglese,3465 South Arlington Road Suite E PM171,Akron,Ohio,44312,www.concretepumpsolutions.com,615-207-8676,,ingleseb@concretepumpsolutions.com,,
,Concrete Pumps USA,Joe Ciulla,7491 Brooke Hollow Loop Road,Park City,Utah,84098,,435-615-0072,,info@concretepumpusa.com,,
,Concrete Strategies / CSI Shop,Joe Vitale,2199 Innerbelt Business Drive,St. Louis,Missouri,63114,www.concretestrategies.com,314-429-5100,314-592-2135,vitalej@concretestrategies.com,PO # Required for payment,
,Cova Pumping,Manny Pereira,146 - 62 106 Avenue,Jamaica,New York,11435-5012,,718-297-3933,718-657-9264,covapumping@verizon.net,,
,CPI,,,,,,,,,,,
,"Cretor Consturction Equipment, Inc",Ronald Morgan,8065 Corporate Blvd.,Plain City,Ohio,43064-9208,,866-865-9567,513-863-6176,cretorpumping@aol.com,,
,Cross,,,,,,,313-386-8005,,,,
,Cross Concrete Pumping Company 1,Ken Spader,4321 Oakwood Blvd,Melvindale,Michigan,48122-0228,www.crosspump.com,313-386-8005,313-386-7918,crosspumping@gmail.com,,
,Cross Concrete Pumping Company 2,Michelle Thomson,10116 West Grand River Avenue,Grand Ledge,Michigan,48837,www.crosspump.com,800-521-3367,517-622-0400,michellethom7@yahoo.com,,
,"Cross Enterprises of Florida, Inc",Peggy Cross,3201 37th Street,Orlando,Florida,32839-8691,www.crosspump.com,800-432-5686,407-843-0136,pcrosspumping@yahoo.com,,
,Custom Truck & Equipment,,7701 Independence Avenue,Kansas City,Missouri,64125,,816-241-4888,,,,
,DJ Foundations,,16160 174th Street,Bonner Springs,Kansas,66012,,913-441-3440,,,,
,DM Pump Equipment,Norman DeMello,54 Fallon Drive,Westport,Massachusetts,02790,,508-636-2230,,ndpump@hotmail.com,,
,Double T Concrete Pumping,Don Parsons,1243 Reser Road,Walla Walla,Washington,99362-9738,,509-529-4898,509-527-0390,doubleconstruction@ymail.com,,
,Dunlap Construction,,1325 West Lincoln Road,Garden City,Kansas,67846,,620-521-2964,,,,
,"E.E. Gilbert Construction, Inc",Jason Galletti,155 Howe Road,Martinez,California,94553,,925-228-0317,925-228-0485,jason@eegilbert.com,,
,Earlham Savings Bank,,,,,,,,,,,
,"East Coast Concrete Pumping, LLC",Brian Forcier,PO Box 2739,Greer,South Carolina,29652,,864-877-3265,864-877-4932,fivestarfoundation@hotmail.com,,
,EDL,,13716 Oak Street,Kansas City,Kansas,64145,,816-718-4444,,,,
,Edwards Concrete Construction,Randy Edwards,1550 Yokel Road,Evansville,Indiana,47711-2867,www.edwards-concrete.com,812-424-7888,812-424-1599,randy@edwards-concrete.com,,
,"Elite Concrete Pumpers, LLC",Chris Davis,PO Box 80734,Lafayette,Louisiana,70598,www.eliteconcretepumpers.com,337-258-9962,337-706-7719,cbjgdavis@gmail.com,,
,Eller Construction,Rick Eller,1111 Trails Road,Eldridge,Iowa,52748,www.ellerconst.com,563-285-5155,563-285-5252,rickl@ellerconst.com,,
,"Emery & Karrigan, Inc",Richard Emery,17933 NW Evergreen Parkway Suite 350,Beaverton,Oregon,97006,,800-955-8009,503-941-8013,ricke@emerykarrigan.com,,
,"Enviro-Systems, Inc",Tony Inglese,6400 Highlands Parkway Suite D,Smyma,Georgia,30082,www.envirosys.com,800-851-3082,770-319-7870,tony@envirosys.com,,
,"Ernst Enterprise, Inc",Kevin Heaney,PO Box 13577,Dayton,Ohio,45413,www.ernstconcrete.com,937-848-3196,937-848-3010,kevinheaney@ernstconcrete.com,,
,Farley,,,,,,,,,,,
,Fenix Construction C,,4655 Lemay Ferry Road,St. Louis,Missouri,63129,,314-892-4700,,,,
,Franks Concrete Pumping,,421 Red Bluff Circle,Millsap,Texas,76066,,817-946-8336,,,,
,Frontier,,,,,,,,,,,
,Fuller Foundation Company,,19125 West 151st Terrace,Olathe,Kansas,66062,,913-764-8222,,,,
,GC Contractors,,,,,,,,,,,
,George Shaw Construction ,,1601 Bellefontaine,Kansas City,Missouri,64127,,,,,PO # Required for payment,
,"Gordy's Concrete Pumping Service, Inc",James Walter II,N64 W 22998 Highway 74,Sussex,Wisconsin,53089,www.gordysconcretepumping.com,262-246-6610,262-246-3712,,,
,Grimms Concrete Pump,,2593 U Road,Woodston,Kansas,67675,,785-285-0704,,,,
,Halley Concrete Pumping LLC,,8607 Schell Road,Liberty,Missouri,64068,,816-781-4747,,,,
,Harris Concrete Pumping,,7322 McCarthur Drive,North Little Rock,Arkansas,72116,,501-412-7867,,,,
,"Hayes Drilling, Inc.",,15525 South Mahaffie Street,Olathe,Kansas,66062,,,,,PO # Required for payment,
,Heartland Concrete Placement Inc.,Gaylan Gehring,PO Box 961,Columbus,Nebraska,68602,,402-562-8020,402-562-6926,heartlandcp@aol.com,,
,Heritage Concrete,Bill Petrillo,307 A Street,Wilmington,Deleware,19801,,302-777-1235,302-777-1239,bpetrillo@heritageconcrete.net,,
,Herzog,,,,,,,816-233-9001,,,,
,"Hoosier Concrete Pumping, Inc. ",Myron Martin,1833 Greenwood Drive,Goshen,Indiana,46526-9336,,574-536-1272,574-534-4749,hoosierconcretepumping@yahoo.com,,
,Hotz Concrete Pumping,Chris Hotz,4524 South 68th Street,Omaha,Nebraska,68117-1009,,402-339-7880,402-339-558,chris@sslmidwest.com,,
,"Howard Concrete Pumping, Inc.",Frank Howard,701 Millers Run Road,Cuddy,Pennsylvania,15031,www.howardconcretepumping.com,412-257-1800,412-257-8380,fhoward1@howardconcretepumping.com,,
,"Howard Concrete Pumping, Inc. - IL",Rob Vall,124 Tower Plaza Drive,Belleville,Illinois,62220,www.howardconcretepumping.com,618-277-7510,618-277-7515,howardconcrete@eqyptian.net,,
,"Howard Concrete Pumping, Inc. - OH",Jude Garris,18801 South Mills Road,Warrensville Heights,Ohio,44128,www.howardconcretepumping.com,216-579-1855,216-581-6033,hcpoh@scbglobal.net,,
,"Hudson Valley Concrete Pumping, Inc.",Van Smith,PO Box 575,Wallkill,New York,12589,www.hvconcretepumping.com,845-778-2986,,sbhvcc@gmail.com,,
,"Hunsche Excavating, Inc",Ron Hunsche,12442 Sportsman Road,Highland,Illinois,62249,,618-654-4014,618-654-6297,bhunschex@hometel.com,,
,"Hydracrete Drake Bros., Inc.",Bobby Drake,3200 West Norfolk Road,Portsmouth,Virgina,23703,www.hydracrete.com,800-352-9366,757-405-2398,drakehyd@sbcglobal.net,,
,"Hydracrete Pumping Co., Inc.",Bob Drake,5512 Train Avenue,Cleveland ,Ohio,44102-4420,,216-281-5544,216-281-4891,hydracrete@sbcglobal.net,,
,"Independent Concrete Pumping, Corp.",James Toothaker,66 New Salem Street,Wakefield,Massachusetts,01880-1979,,781-246-0423,781-246-2966,jtoothaker@hotmail.com,,
,"Irving Equipment, LLC","Joe Irving, Sr",1515 South County Road 1,Tiffin,Ohio,44883,www.irvingequipment.net,419-448-9891,419-937-1890,jirving@irvingequipment.net,,
,Island Truck Parts,,4400 College Blvd,Overland Park,Kansas,66211,,800-922-2308,,,,
,"J.D. Concrete Pumping Service, Inc.",James H. Doucett,163 Spencer Road,Candor,New York,13743-1421,,607-659-7630,607-659-5321,jd@htva.net,,
,J.E. Dunn,,1225 East 16th Street,North Kansas City,Missouri,64116,www.jedunn.com,816-474-8600,,,PO # Required for payment,
,"J-A Zook's Masonry, LLC",John L. Zook,PO Box 978,Belleville,Pennsylvania,17004,,717-935-5586,717-935-5771,masonry@embarqmail.com,,
,Jason Griffin Concrete,,P.O. Box 248,Morristown,Tennessee,37815,,423-585-0014,,,,
,Jazz Concrete Pumping,Mark Petersen,4154 Highway 61,Burlington,Iowa,52601,,319-754-6601,319-754-5665,jazzpumping@hotmail.com,,
,"Jeff Hoge Concrete, LLC",,6884 West 183rd Street,Stillwell,Kansas,66085,,913-239-0903,,,,
,Jensen Construction Company,,PO Box 3345,Des Moines,Iowa,50316,,515-266-5173,,,PO # Required for payment,
,Johnston Concrete Pumping,Dustin Johnson,PO Box 795,Stillwater,Oklahoma,74076,www.concretepumpingok.com,405-714-0890,405-743-2241,dustindjohnston@gmail.com,,
,JPL Concrete Construction Corp,Melissa Licausi,457 Granny Road,Medford,New York,11763,www.jplconcretepumping.com,631-696-1522,,melissa@jplconcretepumping.com,,
,JST Construction Inc,,1581 Rokeby Road,Pleasant Dale,Nebraska,68423,,,,,,
,Judy Company,,8334 Ruby Ave,Kansas City,Kansas,66111,,913-422-5088,,,,
,"K.C. Concrete Placement, Inc",,2700 West Zero Street Suite 2,Lincoln,Nebraska,68528,,402-466-9444,,,,
,K.D.K. Supply Leasing,,1811 North Monet Road,Nixa,Missouri,65714,,417-724-0764,,,,
,Kansas City Master C,,13501 Arrington Road,Grandview,Missouri,64030,,816-763-1500,,,,
,KarrenBrock Construction,,P.O. Box 279,New Melle,Missouri,63365,,636-828-5420,,,,
,KCI,,,,,,,,,,,
,"Kent Companies, Inc.",Chris Fennema,130-60th Street South West,Grand Rapids,Michigan,49548,www.kentcompanies.com,616-534-4909,616-534-4890,chrisf@kentcompanies.com,,
,"Kent Companies, Inc. Carolinas",Chris Fennema,"1223 Quarry Overlook Drive, Suite 102",Fort Mills,South Carolina,29715-8904,www.kentcompanies.com,803-548-5368,803-548-5370,rbilton@kentcompanies.com,,
,"Kent Companies, Inc. Texas",Chris Fennema,830 East Valley Blvd,Lewisville,Texas,75057,www.kentcompanies.com,972-221-8113,972-221-6102,dmckinney@katexas.com,,
,Kiewit Massman,,Box 31096,Omaha,Nebraska,68131,,,,,,
,Kissick Constrution,,8131 Indiana Avenue,Kansas City,Missouri,66283,,816-363-5530,,,,
,Kline Material Inc,,3790 State Highway 34 C,Woodward,Oklahoma,73801,,580-256-2062,,,,
,Kolde Concrete,Mike Kolde,28630 Highway 24,Saint Marys,Kansas,66536,www.koldeconcrete.com,785-437-3730,785-437-3413,mkolde@koldeconcrete.com,,
,"Kustom Concrete Pumping, Inc.",Matthew Barbara,1425 East Aurora Avenue,Des Moines,Iowa,50313,,515-777-9899,,matt@kustompumps.com,,
,KW Trucking,,607 Central Street,Saint Paul,Kansas,66771,,620-449-2763,,,,
,L & L Concrete & Construction,,P.O. Box 5805,Grand Island,Nebraska,68802,,308-381-2004,,,,
,"LaHood Construction, Inc.",Joe Lahood,3305 N Main Street,East Peoria,Illinois,61611,www.lahoodconstruction.com,309-699-5080,,,,
,"Lakeshore Concrete Pumping, LLC.",Casey Wynsma,"11116 Fitzgerald, Suite A",Nunica,Michigan,49448,,616-837-0689,,Casey@lakeshoreconcretepumping.com,,
,Lenxa Police Department,,12500 West 87th Parkway,Lenexa,Kansas,66215,,,,,,
,Lewallen Construction Company,Larry Lewallen,151 Bells Ferry Lane,Marietta,Georgia,30066,www.lewallenconstruction.com,770-426-6667,770-423-9411,peggy@lewallenconstruction.com,,
,Liebherr Concrete Technology Co.,Bob Liebermann,4100 Chestnut Avenue,Newport News,Virgina,23607,www.liebherr.us,757-928-8547,757-928-2489,info.lct@liebherr.com,,
,Louis Waters,,,,,,,,,,,
,LS Construction,,1600 North State Route 29,Independence,Missouri,64055,,816-257-2869,,,,
,Luther Stem Concrete Pumping,"Luther N. Sterm, III",5011 Old Greenwood Street,Ft. Smith,Arkansas,72903,,479-646-7867,479-646-2702,stempump@yahoo.com,,
,Manhattan Road & Bridge Company,Todd Saxton,5601 South 122nd East Avenue,Tulsa,Oklahoma,74146,www.manhattanrb.com,918-437-9560,918-437-9563,tasaxton@manhattanrb.com,,
,Maples Construction,Marvin Maples,5001 NorthWest Cookingham Road,Kansas City,Missouri,64164,,816-464-5773,,,,
,"Maples Pumping, LLC",,15475 Kinghton Avenue,Platte City,Missouri,64079,,816-464-5800,,,,
,Mardian Concrete Pumping Co. 1,Charles Gross,2703 East Industrial Drive,Flagstaff,Arizona,86004,www.mardianconcretepumping.com,928-526-4966,,,,
,Mardian Concrete Pumping Co. 2,"Dan Mardian, Jr.",221 South 35th Avenue,Phoenix,Arizona,85009,www.mardianconcretepumping.com,855-821-9057,602-352-0413,dmardian@marcocrane.com,,
,Mardian Concrete Pumping Co. 3,Wes Farley,4142 East Tennessee,Tucson,Arizona,85714,www.mardianconcretepumping.com,,,,,
,Marner Concrete Pumping,Ray Marner,6779 East 600 North,Montgomery,Indiana,47558,,812-486-3436,812-486-3236,marnerconcrete@yahoo.com,,
,Martinson Construction,David Martinson,3842 West Airline Highway,Waterloo,Iowa,50703,www.martinsonconcstruction.com,319-232-4000,319-232-5020,davem@martinsonconcstruction.com,,
,Massman Construction Co.,,8901 State Line,Kansas City,Missouri,64114,www.massman.net,816-523-1000,816-333-2109,,,
,"Masterlink Concrete Pumping, LLC 1",Steve Slater,3330 East 83rd Place,Merrillville,Indiana,46410-6703,www.masterlinkpumping.com,219-662-8218,319-942-6612,steve@masterlinkpumping.com,,
,"Masterlink Concrete Pumping, LLC 2",Steve Slater,16200 Lincoln Way,Plymouth,Indiana,46563,www.masterlinkpumping.com,574-298-5137,,steve@masterlinkpumping.com,,
,"McClure Concrete, Inc.",Tim Wood,PO Box 473460,Aurora,Colorado,80047-3460,,303-364-7399,303-364-7395,devin@mcclure-concrete.com,,
,Mcnish Foundations,,1643 1300 Road,Lawrence,Kansas,66046,,785-842-3977,,,,
,Meril Concrete Pumping & Conveying San Deigo,John Caole,1331 Distribution Way,Vista,California,92081,,760-597-2480,760-597-2482,merlidispatch@sbcglobal.net,,
,"Meyer Concrete Pumping & Conveyor Service, LLC",Mike Popp,PO Box 296,Libertyville,Illinois,60048,www.meyerpumping.com,847-367-7867,847-680-5983,mpopp@meyerpumping.com,,
,"MGM Concrete Pumping, LLC",,PO Box 68,Milan,Missouri,63556,,,,,,
,"Michel Concrete Construction, Inc.",Mary Wilson,3101 Great Nothern Drive,Springfield,Illinois,62711,www.michelconcrete.com,217-698-9800,217-793-6212,mary@michelconcrete.com,,
,Mick's Equipment Repair,,1914 North Plymouth,Independence,Missouri,64058,,816-882-2128,,,,
,"Mid American Concrete Pumping, Inc.",Darlene Schlegel,221 South 11th Street,Neodesha,Kansas,66757,,620-325-2136,,midamericapumping@yahoo.com,,
,Mid States Pumping,,P.O. Box 628,Eldon,Missouri,65026,,,,,,
,MidAmerica Concrete,,,,,,,,,,,
,MidStates Concrete Pumping,Dan J. Stallbaumer,534 Railroad Street,Bern,Kansas,66408,www.ahrs-inc.com,877-700-7856,,dans@ahrs-inc.com,,
,MidWest Concrete Pumping,Mitch Parrish,PO box 2029,Washington,Missouri,63090,,636-239-0061,636-239-1672,mparrish@fidnet.com,,
,Midwest Equipment ,,,,,,,,,,,
,Mills Foundation ,,1811 North Monet Road,Nixa,Missouri,65714,,417-725-1437,,,,
,Misc,,,,,,,,,,,
,ML Crose Foundations,Merrill Crose,4512 North Allison Road,Sibley,Missouri,64088,www.crosefoundations.com,816-616-2859,816-650-5263,ml450r@aol.com,,
,Moberly Concrete Pumping,,401 Patterson Avenue,Salisbury,Missouri,65281,,660-651-7888,,,,
,Nate's Concrete Pumping,,P.O. Box 642,Eldon,Missouri,65026,,573-216-1124,,,,
,"Nettleton Ready Mix, Inc.",Brandon Winters,PO Box 2157,Jonesboro,Arkansas,72402,www.nettletons.com,870-932-4400,870-932-4079,bwinters@nettletons.com,,
,North Pacific Concrete Pumping,Marlin Zoerink,557 Loomis Trail Road,Lynden,Washington,98264,,360-354-1900,360-354-8054,northpacificcp@yahoo.com,,
,Northland Construction,,8607 Schell Road,Liberty,Missouri,64068,,816-781-7113,,,,
